id,name,hire_date,fire_date
1,Jennifer Jones,2006-04-07,
2,Monica Simmons,2009-11-02,2010-05-18
3,Angela Peterson,2008-09-07,
4,Ronnie Miles,2008-06-19,
5,James Smith,2009-02-11,
6,John White,2007-02-15,
7,Michael West,2007-11-16,
8,Jacob Knight PhD,2006-10-04,
9,Bradley Riley,2009-12-09,
10,Joseph Vasquez,2007-03-02,
11,Sarah Jenkins,2009-09-11,
12,Gloria Owens,2009-09-14,
13,Nicholas Mays,2008-02-08,
14,Hayley Carter,2010-03-30,
15,Raymond Liu,2010-03-26,
16,Jonathan Scott,2007-10-02,
17,Madeline Morales,2007-06-01,
18,Barbara Adams,2009-02-12,
19,Jason Green,2008-04-16,
20,Richard Norris,2007-09-03,2008-03-17
21,Thomas Levine,2007-02-25,
22,Nicholas Casey,2010-03-04,
23,Crystal Dixon,2007-03-08,
24,Troy Day,2010-05-10,
25,Randy Le,2008-02-05,
26,Carrie Sullivan,2008-09-20,
27,Ms. Jenna Little,2009-03-23,2010-08-17
28,Victoria Schroeder,2007-09-28,
29,Miguel Whitaker,2006-12-22,
30,Joseph Cole,2009-08-14,
31,William Brown,2010-08-18,
32,Joseph Parker,2007-04-16,
33,Alicia Klein,2006-09-16,
34,Heather Morrison,2009-10-03,
35,Laura Walls,2007-09-14,
36,Jimmy Marsh,2006-09-09,
37,Joyce Hall,2008-05-20,
38,Laura Coleman,2007-11-23,
39,Carmen Leblanc,2009-03-22,
40,Ian Clark,2009-05-05,
41,Nicholas Myers,2007-09-30,
42,Jill Meyer,2010-04-04,
43,Timothy Perez,2006-10-04,
44,Christina Long,2009-03-02,
45,Laura Lyons,2008-01-06,
46,Traci Roberts,2008-11-21,
47,Anna Mata,2006-11-16,2009-10-17
48,Kim Collins,2009-06-29,
49,Samantha Stuart,2007-12-23,2009-05-22
50,Jessica Ellis,2008-03-11,
51,Brandon Martin,2006-10-30,
52,Vincent Mcdonald,2009-10-12,
53,Bianca Black,2007-06-21,
54,Christine Daniels,2010-07-20,
55,Charles Haynes,2007-05-04,
56,John Johnson,2006-03-31,
57,Jessica Wong,2006-04-21,
58,Mrs. Sherri Cabrera,2010-03-13,
59,Angela Martinez,2007-09-20,2009-05-10
60,Ana Williams,2007-11-10,
61,Michael Mendez,2009-02-14,
62,Susan Wade,2007-11-15,
63,Ryan Daniels,2007-12-13,
64,Jared Lewis,2010-02-27,
65,Richard Morgan,2007-06-06,
66,Scott Peterson,2007-03-20,
67,Andrea Henderson DDS,2008-09-29,
68,Diana Kent,2009-12-08,
